Price,Build,SIM,Processor,Display,Camera,Battery,Storage,RAM,WiFi_Version,Dual_Band,Tri_Band,Hotspot,WiFi_Direct,Accelerometer,Compass,Fingerprint,Barometer,HeartRate
23499.0,11,2,8,6,13,5000,64,4,1,0,0,1,1,1,0,1,0,0
22499.0,11,2,8,6,13,5000,32,3,1,0,0,1,0,1,0,1,0,0
21399.0,10,2,8,6,13,5000,64,4,1,0,0,1,0,1,0,0,0,0
18599.0,10,2,8,6,13,5000,32,3,1,0,0,1,0,1,0,0,0,0
18500.0,11,2,8,6,8,5000,32,2,1,0,0,1,0,1,0,1,0,0
17899.0,10,2,4,2,13,5000,64,3,1,0,0,1,1,1,0,0,0,0
16999.0,9,2,8,2,13,4000,32,2,5,1,0,1,0,1,0,1,0,0
16699.0,10,2,4,2,13,5000,32,3,1,0,0,1,1,1,0,0,0,0
15999.0,10,2,8,2,13,3000,16,2,1,0,0,1,0,1,0,0,0,0
74499.0,9,2,8,0,12,3500,256,8,6,1,0,1,1,1,1,1,1,1
74499.0,9,2,8,5,25,4000,128,4,5,1,0,1,0,1,1,1,0,0
74499.0,9,2,8,5,16,4000,64,4,5,1,0,1,0,1,1,1,0,0
74499.0,9,2,8,0,12,4300,256,12,5,1,0,1,1,1,1,1,1,0
74499.0,11,2,8,5,64,5000,256,8,5,1,0,1,1,1,1,1,0,0
74499.0,8,2,8,4,12,3000,64,4,5,1,0,1,1,1,0,1,0,1
74499.0,10,2,0,4,50,5000,128,8,0,0,0,0,0,0,0,0,0,0
74499.0,9,2,8,0,12,4380,512,12,5,1,0,1,1,1,1,1,0,0
74499.0,10,2,0,4,50,5000,128,8,0,0,0,0,0,0,0,0,0,0
74499.0,9,2,8,0,12,3400,128,8,5,1,0,1,1,1,1,1,0,1
74499.0,10,2,8,5,12,4500,128,8,5,1,0,1,1,1,1,1,1,0
74499.0,10,2,0,4,50,5000,128,8,0,0,0,0,0,0,0,0,0,0
74499.0,10,2,0,4,50,5000,128,8,0,0,0,0,0,0,0,0,0,0
74499.0,10,2,0,4,50,5000,128,8,0,0,0,0,0,0,0,0,0,0
74499.0,10,2,0,4,50,5000,128,8,0,0,0,0,0,0,0,0,0,0
74499.0,10,2,8,1,12,4500,256,12,6,1,0,1,1,1,1,1,1,0
74499.0,9,2,8,0,12,4100,128,8,5,1,0,1,1,1,1,0,0,1
74499.0,10,2,8,0,12,4500,128,8,6,1,0,1,1,1,1,1,1,0
74499.0,10,2,8,0,108,5000,128,12,6,1,0,1,1,1,1,1,1,0
74499.0,10,1,8,1,12,3300,256,8,6,1,0,1,1,1,1,1,0,0
74499.0,10,2,8,5,48,4500,128,8,5,1,0,1,1,1,1,0,0,0
639999.0,15,1,8,1,50,5700,256,16,7,0,1,0,1,1,1,1,1,0
239999.0,15,2,8,3,200,4000,256,12,7,0,1,0,1,1,1,1,1,0
359999.0,15,2,8,3,50,5000,256,12,7,0,1,0,1,1,1,1,1,0
74499.0,16,2,10,1,50,4000,128,8,6,1,0,0,1,1,1,1,1,0
654999.0,15,2,8,1,50,5700,512,16,6,1,0,1,1,1,1,1,1,0
434999.0,15,2,8,3,50,5500,256,16,7,0,1,0,1,1,1,1,1,0
